FECHA,SEMANA,METRO,METROBÚS,TREN_LIGERO,TROLEBÚS,RTP,ECOBICI,MEXIBÚS,MEXICABLE,TREN_SUBURBANO
2020-03-01,9,-0.8879357779,-2.292636211,0.0789827202,-10.69928677,-22.4425703,-4.914470301,16.60415525,4.570149254,8.968559692
2020-03-02,10,7.108800715,6.103176376,7.201711845,12.35802258,13.94359181,4.7488383,0,0,0
2020-03-03,10,3.968162899,5.006655683,1.108748127,5.854732718,11.92131353,6.495303704,-0.81614691,-0.219112242,-0.5847366308
2020-03-04,10,2.403728065,2.419304117,2.259736313,5.118204645,7.313801358,3.716477888,1.275630628,1.733108472,-0.2414080906
2020-03-05,10,2.262604712,2.379756842,3.569041875,6.644181736,9.070707862,5.569662419,-0.1496524031,0.8315281951,-0.02456905092
2020-03-06,10,4.610953559,6.078235382,1.034291407,4.879821818,8.659874451,2.424957921,0.2803669322,-0.8331961139,-0.05540642765
2020-03-07,10,0.4681620041,-0.167964361,-3.266865713,-3.915827197,-16.92337896,-4.081482512,2.476229671,0.5537704246,5.288152319
2020-03-08,10,1.469205478,-5.54267386,2.527511898,-23.54149253,-24.93426909,0.779831309,-7.095958532,-0.7582089552,5.311446062
2020-03-09,11,-20.81125168,-30.25132146,-27.18785,-24.73734405,-18.18223466,-17.71485659,-15.38779645,-13.05434104,-31.84494394
2020-03-10,11,3.105462981,5.541130995,5.646521406,6.614908007,12.65323974,4.342330055,0.81614691,0.219112242,0.5847366308
2020-03-11,11,-0.3480770387,2.040232217,7.766762082,8.526830007,6.409917824,4.151416894,-1.275630628,-1.733108472,0.2414080906
2020-03-12,11,0.1034627537,2.773756265,5.204538541,4.410404344,4.095308268,3.87011589,0.1496524031,-0.8315281951,0.02456905092
2020-03-13,11,2.518324774,3.987365325,1.997448819,4.939704576,-0.7853009557,-0.9439359935,-0.2803669322,0.8331961139,0.05540642765
2020-03-14,11,-4.552377917,-3.321588121,-8.98797548,-8.724410676,-27.09526042,-15.95139905,-2.476229671,-0.5537704246,-5.288152319
2020-03-15,11,-7.950184802,-11.10596175,-8.121731056,-21.32150297,-28.89404988,-28.14857464,-9.508196721,-3.811940299,-14.28000575
2020-03-16,12,-38.84597015,-57.19753294,-58.16131713,-43.87699969,-50.12998923,-70.29006656,-38.52241643,-23.22853772,-68.07056698
2020-03-17,12,-10.75913396,-9.444247834,-9.651133795,-8.215632721,0.07278700278,-25.88622233,-6.585455228,-5.145603619,-23.35460289
2020-03-18,12,-15.52890624,-20.28187337,-16.80910812,-15.24807676,-6.384762034,-35.71799196,-11.97580774,-7.524489576,-29.95731778
2020-03-19,12,-19.84739886,-25.41849588,-30.09053467,-19.83742029,-8.221882927,-44.09933349,-15.17539049,-6.652225561,-32.39548246
2020-03-20,12,-24.03173238,-28.8647848,-27.41211754,-20.82340338,-11.60760296,-43.23678326,-21.35613125,-14.08529557,-36.82048064
2020-03-21,12,-28.83461725,-36.61096626,-37.5920136,-36.77871871,-32.33446751,-49.34303295,-11.42787486,-17.7890203,-35.49194266
2020-03-22,12,-36.05395891,-32.0899662,-35.28925111,-45.22465805,-38.84937175,-51.17961324,-17.42256311,-15.33731343,-40.5607148
2020-03-23,13,-30.99017312,-40.65541278,-42.75115309,-37.90160094,-25.70130072,-58.43096992,-27.05943948,-18.41210355,-47.70923003
2020-03-24,13,-41.00808849,-51.0645312,-49.55477666,-39.89953155,-31.37925423,-62.02876599,-38.01386135,-25.66440486,-54.15865537
2020-03-25,13,-42.94463537,-53.03428642,-51.63234542,-44.30877664,-34.45344683,-65.2674844,-39.27621982,-26.26215508,-56.01195947
2020-03-26,13,-45.2523481,-55.87528007,-53.44058574,-47.03679594,-36.11148484,-67.5141905,-41.60902867,-27.16791279,-58.77788785
2020-03-27,13,-49.89063376,-55.34234987,-54.91072227,-46.82282287,-36.23130784,-66.56505076,-41.37704288,-28.75349909,-59.15104197
